Tanggal,Nama_Barang,Jumlah_Barang,Satuan
10/5/2023,Kapal Api Mix Sachet,20,Dus
10/6/2023,Sun Kara,3,Dus
10/6/2023,Minyak Sovia Pouch 2 Liter,3,Dus
10/6/2023,Sun Kara,2,Dus
10/6/2023,Gula Gmp 1 Kg,1,Dus
10/6/2023,Gula Gmp 1 Kg,1,Dus
10/6/2023,Minyak Kita Pouch 1 Liter,50,Dus
10/6/2023,Minyak Kita Pouch 2 Liter,50,Dus
10/6/2023,Indomie Ayam Bawang,50,Dus
10/6/2023,Minyak Kita Pouch 2 Liter,50,Dus
10/6/2023,Minyak Kita Botol 2 Liter,100,Dus
10/7/2023,Minyak Sovia Pouch 2 Liter,50,Dus
10/7/2023,Indomie Soto ,30,Dus
10/7/2023,Sun Kara,50,Dus
10/7/2023,Indomie Kari Ayam,15,Dus
10/7/2023,Beras Sania 5 Kg,10,Dus
10/7/2023,Minyak Sovia Pouch 2 Liter,15,Dus
10/7/2023,Indomie Soto ,10,Dus
10/7/2023,Sun Kara,25,Dus
10/7/2023,Gulaku 1 Kg,20,Dus
10/8/2023,Minyak Kita Botol 1 Liter,35,Dus
10/8/2023,Terigu Kunci Biru 1 Kg,30,Dus
10/8/2023,Abc Susu,10,Dus
10/8/2023,Beras Sania 5 Kg,10,Dus
10/8/2023,Minyak Kuncimas 2 Liter,20,Dus
10/8/2023,Minyak Sunco Pouch 2 Liter,20,Dus
10/8/2023,Minyak Sania Pouch 2 Liter,20,Dus
10/9/2023,Minyak Kita Pouch 1 Liter,2,Dus
10/9/2023,Minyak Kita Pouch 2 Liter,1,Dus
10/9/2023,Indomie Kari Ayam,100,Dus
10/9/2023,Indomie Soto ,50,Dus
10/9/2023,Beras Sania 5 Kg,50,Dus
10/9/2023,Minyak Rizki Botol 900gr,50,Dus
10/9/2023,Gula Gmp 1 Kg,50,Dus
10/10/2023,Minyak Kita Pouch 1 Liter,2,Dus
10/10/2023,Minyak Kita Pouch 2 Liter,1,Dus
10/10/2023,Minyak Kita Pouch 1 Liter,3,Dus
10/10/2023,Minyak Kita Pouch 2 Liter,2,Dus
10/10/2023,Minyak Kita Pouch 1 Liter,50,Dus
10/10/2023,Minyak Kita Pouch 2 Liter,20,Dus
10/10/2023,Indomie Ayam Bawang,50,Dus
10/10/2023,Sun Kara,100,Dus
10/10/2023,Minyak Tropikal botol 1 Liter,50,Dus
10/10/2023,Indomie Goreng,50,Dus
10/10/2023,Minyak Kita Botol 2 Liter,20,Dus
10/11/2023,Terigu Segitiga Ekonomis 1/2 kg,15,Dus
10/11/2023,Minyak Sania Pouch 1 Liter,20,Dus
10/11/2023,Gulaku 1 Kg,20,Dus
10/11/2023,Minyak Kita Pouch 2\,50,Dus
10/11/2023,Minyak Kita Botol 2 Liter,50,Dus
10/11/2023,Indomie Soto ,50,Dus
10/11/2023,Sun Kara,20,Dus
10/11/2023,Indomie Kari Ayam,20,Dus
10/12/2023,Sun Kara,2,Dus
10/12/2023,Gula Gmp 1 Kg,1,Dus
10/12/2023,Minyak Bimoli 2 Liter,10,Dus
10/12/2023,Terigu Segitiga Ekonomis 1/2 kg,5,Dus
10/12/2023,Beras Sania 5 Kg,100,Dus
10/12/2023,Minyak Rizki Botol 900gr,100,Dus
10/12/2023,Indomie Goreng,50,Dus
10/12/2023,Gula Gmp 1 Kg,25,Dus
10/12/2023,Minyak Kita Botol 1 Liter,20,Dus
10/12/2023,Sun Kara,10,Dus
10/12/2023,Minyak Kita Botol 2 Liter,20,Dus
10/13/2023,Minyak Sovia Pouch 1 Liter,30,Dus
10/13/2023,Minyak Sovia Pouch 2 Liter,20,Dus
10/13/2023,Minyak Kita Pouch 1 Liter,2,Dus
10/13/2023,Gula Gmp 1 Kg,1,Dus
10/13/2023,Minyak Sovia Pouch 2 Liter,30,Dus
10/13/2023,Indomie Soto ,30,Dus
10/13/2023,Sun Kara,50,Dus
10/14/2023,Minyak Kuncimas 2 Liter,50,Dus
10/14/2023,Minyak Sunco Pouch 2 Liter,30,Dus
10/14/2023,Minyak Kita Pouch 2 Liter,50,Dus
10/14/2023,Minyak Kita Botol 2 Liter,100,Dus
10/14/2023,Indomie Goreng,30,Dus
10/14/2023,Indomie Ayam Bawang,30,Dus
10/14/2023,Indomie Goreng,100,Dus
10/15/2023,Minyak Sovia Pouch 1 Liter,50,Dus
10/15/2023,Minyak Sovia Pouch 2 Liter,25,Dus
